title,authors,date_published,date_updated,tags,url
A modern approach for secure End User access with Amazon WorkSpaces and AWS Verified Access,,2025-10-03T15:08:28+00:00,2025-10-03T15:08:28+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/a-modern-approach-for-secure-end-user-access-with-amazon-workspaces-and-aws-verified-access/
Accelerate your data center exit with Amazon WorkSpaces Core,,2024-10-25T15:17:14+00:00,2024-10-25T15:17:14+00:00,Amazon WorkSpaces Core,https://aws.amazon.com/blogs/desktop-and-application-streaming/accelerate-your-data-center-exit-with-amazon-workspaces-core/
Accelerating cloud-based delivery of applications as a competitive advantage,,2023-09-01T16:30:47+00:00,2023-09-07T15:14:08+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/accelerating-cloud-based-delivery-of-applications-as-a-competitive-advantage/
Accessing AWS resources using AWS IAM Roles Anywhere from Amazon WorkSpaces,,2024-08-16T22:47:40+00:00,2024-09-12T08:06:54+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/accessing-aws-resources-from-amazon-workspaces-using-aws-iam-roles-anywhere/
Active Directory Group Membership Based WorkSpaces Applications Application Targeting,,2021-05-10T16:51:13+00:00,2025-11-11T17:24:08+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/active-directory-group-membership-based-appstream-2-0-application-targeting/
Add your WorkSpaces to Microsoft Entra ID using Microsoft Entra Domain Services,,2019-04-24T18:43:36+00:00,2025-01-22T15:54:01+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/add-your-workspaces-to-azure-ad-using-azure-active-directory-domain-services/
Adding SAML authentication to an Amazon AppStream 2.0 SaaS Portal,,2020-12-18T21:39:57+00:00,2020-12-18T21:39:57+00:00,End User Computing,https://aws.amazon.com/blogs/desktop-and-application-streaming/adding-saml-authentication-to-an-amazon-appstream-2-0-saas-portal/
Advancing business continuity with Amazon WorkSpaces Multi-Region Resilience,,2022-11-17T23:39:19+00:00,2022-11-18T01:56:31+00:00,Announcements,https://aws.amazon.com/blogs/desktop-and-application-streaming/advancing-business-continuity-with-amazon-workspaces-multi-region-resilience/
Agency Systems deploys fully managed DaaS technology to improve customer experience,,2022-10-20T19:10:15+00:00,2023-06-12T14:53:07+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/agency-systems-deploys-fully-managed-daas-technology-to-improve-customer-experience/
Amazon AppStream 2.0 adds support for OneDrive for Business,,2018-07-31T21:39:28+00:00,2018-07-31T22:05:51+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/amazon-appstream-2-0-adds-support-for-onedrive-for-business/
Amazon AppStream 2.0 and Amazon WorkSpaces announcements and launches – August,,2020-08-13T22:46:53+00:00,2020-08-14T21:00:42+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/amazon-appstream-2-0-and-amazon-workspaces-announcements-and-launches-august/
Amazon AppStream 2.0 releases a simple pricing tool,,2019-11-04T18:38:06+00:00,2023-12-01T23:05:48+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/amazon-appstream-2-0-releases-a-simple-pricing-tool/
"Amazon AppStream 2.0 Updates: Image Sharing APIs, Clipboard enhancement, and DescribeSessions API with client IP",,2018-07-18T23:23:28+00:00,2018-07-18T23:29:22+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/amazon-appstream-2-0-updates-image-sharing-apis-clipboard-enhancement-and-describesessions-api-with-client-ip/
Amazon WorkDocs Update – auto provisioning of directory users,,2020-09-24T22:05:37+00:00,2024-04-25T17:24:58+00:00,Amazon WorkDocs,https://aws.amazon.com/blogs/desktop-and-application-streaming/amazon-workdocs-update-auto-provisioning-of-directory-users/
Amazon WorkSpaces is now Chrome Enterprise Recommended,,2025-03-17T16:45:43+00:00,2025-11-11T14:08:53+00:00,Amazon AppStream 2.0,https://aws.amazon.com/blogs/desktop-and-application-streaming/amazon-workspaces-and-amazon-appstream-2-0-are-now-chrome-enterprise-recommended/
Amazon WorkSpaces and FlexApp Working Together,,2019-10-14T16:11:25+00:00,2019-10-14T16:11:25+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/amazon-workspaces-and-flexapp-working-together/
Amazon WorkSpaces announces price reduction of up to 20% on the Performance bundle,,2019-09-11T23:03:21+00:00,2019-09-12T21:32:48+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/amazon-workspaces-announces-price-reduction-of-up-to-20-on-the-performance-bundle/
Amazon WorkSpaces Application Manager (Amazon WAM) is retiring,,2022-09-01T16:13:11+00:00,2022-09-01T17:40:53+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/amazon-workspaces-application-manager-amazon-wam-is-retiring/
Amazon WorkSpaces applications simple pricing tool,,2025-11-06T17:41:26+00:00,2025-11-11T14:55:24+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/amazon-workspaces-applications-simple-pricing-tool/
Amazon WorkSpaces: Connecting your client device to your cloud desktop,,2019-01-31T00:43:35+00:00,2019-01-31T00:43:35+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/amazon-workspaces-connectivity/
"Amazon WorkSpaces Flexible Workforce Offer Available on August 1, 2021",,2021-08-03T16:27:38+00:00,2021-08-03T16:27:38+00:00,Amazon WorkSpaces,https://aws.amazon.com/blogs/desktop-and-application-streaming/amazon-workspaces-flexible-workforce-offer-available-on-august-1-2021/
